基準地の１平方メートル当たり価格（円）,基準地の地積（m2）,基準地の鉄道その他の主要な交通施設との接近状況,ガス,下水,水道,鉄筋コンクリート造,鉄骨造,木造,ホテル,事務所,住宅,工場,店舗,銀行
32200,192,600.0,0,0,1,0,0,1,0,0,1,0,0,0
33500,397,1100.0,0,0,1,0,0,1,0,0,1,0,0,0
33200,132,900.0,1,0,1,0,0,1,0,0,1,0,0,0
30000,185,1000.0,0,0,1,0,0,1,0,0,1,0,0,0
33700,263,2200.0,0,0,1,0,1,0,0,0,1,0,0,0
27400,225,2800.0,0,1,1,0,0,1,0,0,1,0,0,0
45000,3636,1000.0,0,0,1,0,1,0,0,0,0,0,0,1
39200,249,560.0,0,1,1,0,0,1,0,0,0,0,1,0
32600,640,1700.0,0,1,1,0,0,1,0,0,0,0,1,0
20400,9385,2500.0,0,1,1,0,0,0,0,0,0,1,0,0
20300,29845,2700.0,1,0,1,1,0,0,0,0,0,1,0,0
28300,303,1000.0,1,1,1,0,0,1,0,0,1,0,0,0
23500,243,500.0,0,0,1,0,0,1,0,0,1,0,0,0
15300,275,2400.0,0,0,1,0,0,1,0,0,1,0,0,0
